Rank,Votes,Id,Name,District,Category,Cost
1,167,#17,Bike Lanes on Seefeldstrasse,Ost,Transportation,5000
2,100,#5,Safe Bike Paths around Irchel Park,Nord,Transportation,5000
3,95,#24,Car-free Langstrasse,West,Transportation,10000
4,63,#1,Planting Workshops at Oerlikon,Nord,Nature,5000
5,62,#7,Free Open Badi Space in Wollishofen,Süd,Nature,5000
6,47,#8,A Neighborhood Garden for Wiedikon,Süd,Nature,10000
7,45,#14,More Trees in Bellevue & Sechseläutenplatz,Ost,Nature,10000
8,45,#15,Plant Festival in the City Centre,Ost,Culture,5000
9,42,#9,Environmental Film Session for Kids,Süd,Culture,5000
10,41,#11,Free Bike Fixing Workshops,Süd,Transportation,5000
11,30,#20,Wet Biotope as Learning Garden in Frankental,West,Nature,10000
12,28,#21,Dingtheke: Community Things Exchange Library in Wipkingen,West,Culture,5000
13,26,#23,Public Bicycle Moving Trailer to be Borrowed,West,Transportation,5000
14,25,#10,Car-free Sunday Festivals on Mutschellenstrasse,Süd,Culture,10000
15,22,#3,Kid Festival at Leutschenpark,Nord,Culture,5000
16,15,#13,Transforming City Spaces under Trees into Gardens,Ost,Nature,5000
17,15,#22,Sustainable Cooking Workshop with Kids,West,Culture,10000
18,10,#19,Bird Houses for Zurich-Höngg,West,Nature,5000
19,8,#2,Footpath Gardens around Train Stations,Nord,Nature,10000
20,5,#18,Speed bumps in the City and the Lake Front,Ost,Transportation,10000
21,4,#6,More Night Buses to Oerlikon,Nord,Transportation,10000
22,2,#12,Car Sharing System for Young People,Süd,Transportation,10000
23,2,#16,Multicultural Festival at Sechseläutenplatz,Ost,Culture,10000
24,1,#4,Music Studio at Kulturbahnhof Affoltern,Nord,Culture,10000
