Id,Title,Cost,Location,Category
1,Aufwertung Spielplatz Rüchlig,15000,Telli,Parkanlagen und Freizeit
2,Boule für alle in der Telli,2800,Telli,Parkanlagen und Freizeit
3,Ein Generationeneproject,1600,Zelgli,Soziales
4,Ein Paradies für Wildbienen,20000,Ganze Stadt,Umwelt
5,Eltern-Kind Fun & Action Tag vom Verein Kinder-Camps,3100,Ganze Stadt,Soziales
6,Grüezi 2024 - Neujahrsapéro,4000,Stadtteil Rohr,Soziales
7,Kinder-Disco,4330,Altstadt,Soziales
8,Quartierfest Altstadt - Langer Tisch Kirchgasse,3400,Altstadt,Soziales
9,Let's Play Football im Scheibenschachen,2000,Scheibenschachen,Parkanlagen und Freizeit
10,LGBTQIA+ Monatsparty,20000,Ganze Stadt,Soziales
11,Offene Turnhalle Schulhaus Aare: Spiel und Spass am Samstagabend,2300,Scheibenschachen,Soziales
12,Offener Kleiderschrank,7000,Altstadt,Soziales
13,Offenes Kinderatelier,10000,Altstadt,Bildung
14,Pétanqueplatz,8000,Goldern,Parkanlagen und Freizeit
15,Pfasyl Aargau,3600,Ganze Stadt,Soziales
16,Raumpatenschaften für Aarau,1000,Ganze Stadt,Umwelt
17,Senioreträff 70+,3500,Stadtteil Rohr,Soziales
18,Verarbeitung Geburt,5000,Ganze Stadt,Gesundheit
19,Wege des Erinnerns,500,Altstadt,Soziales
20,Zopftour,1500,Stadtteil Rohr,Soziales
21,Öffentliche Velopumpen,4000,Ganze Stadt,Öffentlicher Verkehr
22,Kufa - Kulturfest Aarau,15000,Altstadt,"Kunst Kultur & Medien"
23,Frida Fröhlich und Hans Hässig - Ein Ort für Alle,17000,Binzenhof,Parkanlagen und Freizeit
24,Öffentlicher Kräutergarten,800,Scheibenschachen,Umwelt
25,Aarauer Zukunftsacker,3600,Scheibenschachen,Umwelt
26,Sommerplausch im Sonnmatt-Sommergarten,1500,Scheibenschachen,Parkanlagen und Freizeit
27,Neuauflage Tellikarte,4000,Telli,Soziales
28,Klimatage für Aarau,24000,Altstadt,Umwelt
29,Garten für Alle,2500,Ganze Stadt,Umwelt
30,Sommerliche Kinonächte in der Badi,10000,Schachen,"Kunst Kultur & Medien"
31,Wasserspielplatz Rüchlig,25000,Telli,Parkanlagen und Freizeit
32,Eine Hecke schafft nutzbaren Raum,1000,Innenstadt,Parkanlagen und Freizeit
33,Spielplatzerweiterung Oehlerpark,20000,Torfeld Süd,Parkanlagen und Freizeit
